"YEAR","POWER_HANGYE","POWER_QUYU","SUM(*)"
2017.0,"城管","罗湖区",15.0
2017.0,"公安","罗湖区",26.0
2017.0,"规自","罗湖区",141.0
2017.0,"教育","罗湖区",7.0
2017.0,"民政","罗湖区",3.0
2017.0,"人社","罗湖区",6.0
2017.0,"审计","罗湖区",2.0
2017.0,"生态","罗湖区",15.0
2017.0,"水务","罗湖区",4.0
2017.0,"司法","罗湖区",1.0
2017.0,"退役","罗湖区",1.0
2017.0,"卫生","罗湖区",2.0
2017.0,"文体","罗湖区",53.0
2017.0,"应急","罗湖区",63.0
2017.0,"住建","罗湖区",20.0
2017.0,,"罗湖区",2.0
2017.0,"城管","南山区",17.0
2017.0,"公安","南山区",26.0
2017.0,"规自","南山区",144.0
2017.0,"教育","南山区",1.0
2017.0,"民政","南山区",2.0
2017.0,"人社","南山区",5.0
2017.0,"审计","南山区",1.0
2017.0,"生态","南山区",15.0
2017.0,"水务","南山区",4.0
2017.0,"司法","南山区",3.0
2017.0,"卫生","南山区",2.0
2017.0,"文体","南山区",53.0
2017.0,"应急","南山区",7.0
2017.0,"住建","南山区",8.0
2017.0,"保密","坪山区",2.0
2017.0,"财政","坪山区",4.0
2017.0,"城管","坪山区",15.0
2017.0,"公安","坪山区",26.0
2017.0,"规自","坪山区",139.0
2017.0,"交通","坪山区",1.0
2017.0,"教育","坪山区",1.0
2017.0,"民政","坪山区",2.0
2017.0,"人社","坪山区",1.0
2017.0,"生态","坪山区",15.0
2017.0,"水务","坪山区",0.0
2017.0,"卫生","坪山区",13.0
2017.0,"文体","坪山区",1.0
2017.0,"应急","坪山区",8.0
2017.0,"住建","坪山区",30.0
2017.0,"城管","盐田区",18.0
2017.0,"档案","盐田区",0.0
2017.0,"公安","盐田区",26.0
2017.0,"规自","盐田区",143.0
2017.0,"教育","盐田区",1.0
2017.0,"民政","盐田区",2.0
2017.0,"民宗","盐田区",0.0
2017.0,"人社","盐田区",1.0
2017.0,"生态","盐田区",15.0
2017.0,"水务","盐田区",77.0
2017.0,"司法","盐田区",1.0
2017.0,"卫生","盐田区",2.0
2017.0,"文体","盐田区",48.0
2017.0,"应急","盐田区",8.0
2017.0,"住建","盐田区",26.0
2017.0,,"盐田区",1.0
2017.0,"财政",,0.0
2017.0,"城管",,15.0
2017.0,"公安",,24.0
2017.0,"规自",,145.0
2017.0,"交通",,33.0
2017.0,"教育",,7.0
2017.0,"金融",,2.0
2017.0,"民政",,2.0
2017.0,"人社",,1.0
2017.0,"审计",,1.0
2017.0,"生态",,16.0
2017.0,"市监",,0.0
2017.0,"司法",,3.0
2017.0,"卫生",,2.0
2017.0,"文体",,1.0
2017.0,"应急",,8.0
2017.0,"住建",,14.0
2018.0,"城管","宝安区",35.0
2018.0,"公安","宝安区",34.0
2018.0,"规自","宝安区",138.0
2018.0,"教育","宝安区",1.0
2018.0,"民政","宝安区",2.0
2018.0,"人社","宝安区",1.0
2018.0,"审计","宝安区",9.0
2018.0,"生态","宝安区",20.0
2018.0,"水务","宝安区",0.0
2018.0,"司法","宝安区",1.0
2018.0,"卫生","宝安区",3.0
2018.0,"文体","宝安区",1.0
2018.0,"应急","宝安区",8.0
2018.0,"住建","宝安区",8.0
2018.0,,"宝安区",0.0
2018.0,"城管","大鹏新区",34.0
2018.0,"公安","大鹏新区",26.0
2018.0,"规自","大鹏新区",143.0
2018.0,"教育","大鹏新区",2.0
2018.0,"民政","大鹏新区",2.0
2018.0,"人社","大鹏新区",2.0
2018.0,"生态","大鹏新区",1.0
2018.0,"水务","大鹏新区",102.0
