"YEAR","POWER_QUYU","POWER_HANGYE","SUM(*)"
2017.0,"光明区","交通",1
2017.0,"光明区","人社",5
2017.0,"光明区","住建",106
2017.0,"光明区","公安",104
2017.0,"光明区","医疗",3
2017.0,"光明区","卫生",86
2017.0,"光明区","司法",6
2017.0,"光明区","城管",78
2017.0,"光明区","应急",53
2017.0,"光明区","教育",14
2017.0,"光明区","文体",75
2017.0,"光明区","档案",2
2017.0,"光明区","民宗",2
2017.0,"光明区","民政",9
2017.0,"光明区","气象",1
2017.0,"光明区","水务",84
2017.0,"光明区","生态",54
2017.0,"光明区","统计",4
2017.0,"光明区","规自",84
2017.0,"光明区","财政",2
2017.0,"光明区","退役",1
2017.0,"南山区",,2
2017.0,"南山区","交通",2
2017.0,"南山区","人社",29
2017.0,"南山区","住建",83
2017.0,"南山区","公安",106
2017.0,"南山区","卫生",82
2017.0,"南山区","司法",4
2017.0,"南山区","城管",73
2017.0,"南山区","审计",10
2017.0,"南山区","工信",1
2017.0,"南山区","市监",1
2017.0,"南山区","应急",57
2017.0,"南山区","教育",12
2017.0,"南山区","文体",71
2017.0,"南山区","档案",5
2017.0,"南山区","民宗",2
2017.0,"南山区","民政",6
2017.0,"南山区","水务",90
2017.0,"南山区","生态",58
2017.0,"南山区","统计",6
2017.0,"南山区","规自",98
2017.0,"南山区","财政",15
2017.0,"南山区","退役",1
2017.0,"坪山区",,5
2017.0,"坪山区","交通",4
2017.0,"坪山区","人社",31
2017.0,"坪山区","住建",93
2017.0,"坪山区","保密",2
2017.0,"坪山区","公安",104
2017.0,"坪山区","卫生",91
2017.0,"坪山区","司法",5
2017.0,"坪山区","商务",2
2017.0,"坪山区","城管",31
2017.0,"坪山区","审计",4
2017.0,"坪山区","应急",44
2017.0,"坪山区","教育",35
2017.0,"坪山区","文体",77
2017.0,"坪山区","档案",1
2017.0,"坪山区","民宗",3
2017.0,"坪山区","民政",21
2017.0,"坪山区","水务",101
2017.0,"坪山区","生态",54
2017.0,"坪山区","统计",9
2017.0,"坪山区","规自",91
2017.0,"坪山区","财政",16
2017.0,"坪山区","退役",3
2017.0,"大鹏新区",,5
2017.0,"大鹏新区","交通",1
2017.0,"大鹏新区","人社",14
2017.0,"大鹏新区","住建",112
2017.0,"大鹏新区","公安",105
2017.0,"大鹏新区","卫生",52
2017.0,"大鹏新区","司法",8
2017.0,"大鹏新区","城管",21
2017.0,"大鹏新区","应急",43
2017.0,"大鹏新区","教育",12
2017.0,"大鹏新区","文体",83
2017.0,"大鹏新区","档案",5
2017.0,"大鹏新区","民宗",2
2017.0,"大鹏新区","民政",9
2017.0,"大鹏新区","水务",88
2017.0,"大鹏新区","生态",8
2017.0,"大鹏新区","统计",4
2017.0,"大鹏新区","规自",86
2017.0,"大鹏新区","财政",12
2017.0,"宝安区",,49
2017.0,"宝安区","交通",3
2017.0,"宝安区","人社",35
2017.0,"宝安区","住建",56
2017.0,"宝安区","公安",106
2017.0,"宝安区","卫生",94
2017.0,"宝安区","发改",2
2017.0,"宝安区","司法",9
2017.0,"宝安区","城管",30
2017.0,"宝安区","审计",4
2017.0,"宝安区","应急",61
2017.0,"宝安区","教育",16
2017.0,"宝安区","文体",71
2017.0,"宝安区","档案",5
2017.0,"宝安区","民宗",2
2017.0,"宝安区","民政",19
2017.0,"宝安区","水务",91
2017.0,"宝安区","生态",54
2017.0,"宝安区","统计",5
2017.0,"宝安区","规自",87
2017.0,"宝安区","财政",14
2017.0,"宝安区","退役",2
2017.0,"盐田区",,33
2017.0,"盐田区","交通",1
2017.0,"盐田区","人社",35
2017.0,"盐田区","住建",69
2017.0,"盐田区","保密",2
2017.0,"盐田区","公安",106
2017.0,"盐田区","卫生",100
2017.0,"盐田区","司法",9
2017.0,"盐田区","城管",39
2017.0,"盐田区","审计",4
2017.0,"盐田区","应急",53
2017.0,"盐田区","教育",24
2017.0,"盐田区","文体",71
2017.0,"盐田区","档案",5
2017.0,"盐田区","民宗",4
2017.0,"盐田区","民政",14
2017.0,"盐田区","水务",94
2017.0,"盐田区","生态",54
2017.0,"盐田区","统计",4
2017.0,"盐田区","规自",80
2017.0,"盐田区","财政",12
2017.0,"盐田区","退役",4
2017.0,"盐田区","防空",5
2017.0,"福田区",,90
2017.0,"福田区","交通",1
2017.0,"福田区","人社",35
2017.0,"福田区","住建",38
2017.0,"福田区","公安",104
2017.0,"福田区","卫生",82
2017.0,"福田区","发改",1
2017.0,"福田区","司法",7
2017.0,"福田区","商务",1
2017.0,"福田区","城管",66
2017.0,"福田区","审计",4
2017.0,"福田区","应急",41
2017.0,"福田区","教育",27
2017.0,"福田区","文体",63
2017.0,"福田区","档案",5
2017.0,"福田区","民宗",2
2017.0,"福田区","民政",14
2017.0,"福田区","水务",83
2017.0,"福田区","生态",54
2017.0,"福田区","统计",6
2017.0,"福田区","规自",86
2017.0,"福田区","财政",17
2017.0,"福田区","退役",1
2017.0,"罗湖区",,22
2017.0,"罗湖区","事单",2
2017.0,"罗湖区","交通",2
2017.0,"罗湖区","人社",34
2017.0,"罗湖区","住建",88
2017.0,"罗湖区","公安",104
2017.0,"罗湖区","卫生",93
2017.0,"罗湖区","发改",2
2017.0,"罗湖区","司法",2
2017.0,"罗湖区","商务",1
2017.0,"罗湖区","城管",22
2017.0,"罗湖区","审计",4
2017.0,"罗湖区","应急",50
2017.0,"罗湖区","教育",13
2017.0,"罗湖区","文体",77
2017.0,"罗湖区","档案",5
2017.0,"罗湖区","民宗",2
2017.0,"罗湖区","民政",15
2017.0,"罗湖区","水务",91
2017.0,"罗湖区","生态",54
2017.0,"罗湖区","统计",5
2017.0,"罗湖区","规自",88
2017.0,"罗湖区","财政",8
2017.0,"罗湖区","退役",3
2017.0,"龙华区","事单",2
2017.0,"龙华区","交通",1
