"YEAR","POWER_HANGYE","POWER_QUYU","POWER_TYPE","SUM(*)"
2016.0,"金融",,"行政处罚",1.0
2016.0,"科创",,"行政处罚",9.0
2016.0,"民政",,"行政处罚",40.0
2016.0,"民宗",,"行政处罚",5.0
2016.0,"气象",,"行政处罚",22.0
2016.0,"人社",,"行政处罚",20.0
2016.0,"审计",,"行政处罚",17.0
2016.0,"生态",,"行政处罚",162.0
2016.0,"市监",,"行政处罚",0.0
2016.0,"水务",,"行政处罚",439.0
2016.0,"司法",,"行政处罚",15.0
2016.0,"卫生",,"行政处罚",238.0
2016.0,"文体",,"行政处罚",1.0
2016.0,"应急",,"行政处罚",166.0
2016.0,"住建",,"行政处罚",60.0
2016.0,,,"行政处罚",19.0
2017.0,"财政","宝安区","行政处罚",0.0
2017.0,"城管","宝安区","行政处罚",277.0
2017.0,"档案","宝安区","行政处罚",7.0
2017.0,"公安","宝安区","行政处罚",565.0
2017.0,"规自","宝安区","行政处罚",335.0
2017.0,"交通","宝安区","行政处罚",3.0
2017.0,"教育","宝安区","行政处罚",39.0
2017.0,"民政","宝安区","行政处罚",40.0
2017.0,"民宗","宝安区","行政处罚",5.0
2017.0,"人社","宝安区","行政处罚",125.0
2017.0,"审计","宝安区","行政处罚",17.0
2017.0,"生态","宝安区","行政处罚",170.0
2017.0,"水务","宝安区","行政处罚",446.0
2017.0,"司法","宝安区","行政处罚",1.0
2017.0,"统计","宝安区","行政处罚",15.0
2017.0,"退役","宝安区","行政处罚",1.0
2017.0,"卫生","宝安区","行政处罚",545.0
2017.0,"文体","宝安区","行政处罚",3.0
2017.0,"应急","宝安区","行政处罚",291.0
2017.0,"住建","宝安区","行政处罚",227.0
2017.0,,"宝安区","行政处罚",6.0
2017.0,"财政","大鹏新区","行政处罚",29.0
2017.0,"城管","大鹏新区","行政处罚",115.0
2017.0,"档案","大鹏新区","行政处罚",0.0
2017.0,"公安","大鹏新区","行政处罚",414.0
2017.0,"规自","大鹏新区","行政处罚",329.0
2017.0,"交通","大鹏新区","行政处罚",1.0
2017.0,"教育","大鹏新区","行政处罚",42.0
2017.0,"民政","大鹏新区","行政处罚",12.0
2017.0,"民宗","大鹏新区","行政处罚",5.0
2017.0,"人社","大鹏新区","行政处罚",18.0
2017.0,"生态","大鹏新区","行政处罚",53.0
2017.0,"水务","大鹏新区","行政处罚",777.0
2017.0,"司法","大鹏新区","行政处罚",7.0
2017.0,"统计","大鹏新区","行政处罚",3.0
2017.0,"卫生","大鹏新区","行政处罚",202.0
2017.0,"文体","大鹏新区","行政处罚",216.0
2017.0,"应急","大鹏新区","行政处罚",225.0
2017.0,"住建","大鹏新区","行政处罚",410.0
2017.0,,"大鹏新区","行政处罚",4.0
2017.0,"财政","福田区","行政处罚",24.0
2017.0,"城管","福田区","行政处罚",356.0
2017.0,"档案","福田区","行政处罚",8.0
2017.0,"公安","福田区","行政处罚",416.0
2017.0,"规自","福田区","行政处罚",285.0
2017.0,"交通","福田区","行政处罚",1.0
2017.0,"教育","福田区","行政处罚",43.0
2017.0,"民政","福田区","行政处罚",34.0
2017.0,"民宗","福田区","行政处罚",5.0
2017.0,"人社","福田区","行政处罚",117.0
2017.0,"商务","福田区","行政处罚",0.0
2017.0,"审计","福田区","行政处罚",0.0
2017.0,"生态","福田区","行政处罚",170.0
2017.0,"水务","福田区","行政处罚",446.0
2017.0,"司法","福田区","行政处罚",5.0
2017.0,"统计","福田区","行政处罚",0.0
2017.0,"退役","福田区","行政处罚",1.0
2017.0,"卫生","福田区","行政处罚",299.0
2017.0,"文体","福田区","行政处罚",1.0
2017.0,"应急","福田区","行政处罚",166.0
2017.0,"住建","福田区","行政处罚",93.0
2017.0,,"福田区","行政处罚",256.0
2017.0,"城管","光明区","行政处罚",372.0
2017.0,"档案","光明区","行政处罚",0.0
2017.0,"公安","光明区","行政处罚",416.0
2017.0,"规自","光明区","行政处罚",274.0
2017.0,"交通","光明区","行政处罚",1.0
2017.0,"教育","光明区","行政处罚",3.0
2017.0,"民政","光明区","行政处罚",39.0
2017.0,"民宗","光明区","行政处罚",10.0
2017.0,"气象","光明区","行政处罚",2.0
2017.0,"人社","光明区","行政处罚",1.0
2017.0,"生态","光明区","行政处罚",170.0
2017.0,"事单","光明区","行政处罚",0.0
2017.0,"水务","光明区","行政处罚",442.0
2017.0,"司法","光明区","行政处罚",3.0
2017.0,"统计","光明区","行政处罚",15.0
2017.0,"退役","光明区","行政处罚",1.0
2017.0,"卫生","光明区","行政处罚",305.0
2017.0,"文体","光明区","行政处罚",217.0
2017.0,"医疗","光明区","行政处罚",7.0
2017.0,"应急","光明区","行政处罚",166.0
2017.0,"住建","光明区","行政处罚",474.0
2017.0,,"光明区","行政处罚",3.0
2017.0,"财政","龙岗区","行政处罚",0.0
2017.0,"城管","龙岗区","行政处罚",133.0
2017.0,"档案","龙岗区","行政处罚",9.0
2017.0,"工信","龙岗区","行政处罚",0.0
2017.0,"公安","龙岗区","行政处罚",414.0
2017.0,"规自","龙岗区","行政处罚",317.0
2017.0,"交通","龙岗区","行政处罚",1.0
2017.0,"教育","龙岗区","行政处罚",27.0
2017.0,"民政","龙岗区","行政处罚",40.0
2017.0,"民宗","龙岗区","行政处罚",10.0
2017.0,"人社","龙岗区","行政处罚",117.0
2017.0,"审计","龙岗区","行政处罚",17.0
2017.0,"生态","龙岗区","行政处罚",170.0
2017.0,"水务","龙岗区","行政处罚",894.0
2017.0,"司法","龙岗区","行政处罚",4.0
2017.0,"统计","龙岗区","行政处罚",12.0
2017.0,"退役","龙岗区","行政处罚",1.0
2017.0,"卫生","龙岗区","行政处罚",300.0
2017.0,"文体","龙岗区","行政处罚",196.0
2017.0,"应急","龙岗区","行政处罚",169.0
2017.0,"住建","龙岗区","行政处罚",362.0
2017.0,,"龙岗区","行政处罚",0.0
2017.0,"保密","龙华区","行政处罚",2.0
2017.0,"财政","龙华区","行政处罚",4.0
2017.0,"城管","龙华区","行政处罚",234.0
2017.0,"档案","龙华区","行政处罚",2.0
2017.0,"公安","龙华区","行政处罚",416.0
2017.0,"规自","龙华区","行政处罚",325.0
2017.0,"交通","龙华区","行政处罚",1.0
2017.0,"教育","龙华区","行政处罚",42.0
2017.0,"民政","龙华区","行政处罚",2.0
2017.0,"民宗","龙华区","行政处罚",8.0
2017.0,"气象","龙华区","行政处罚",1.0
2017.0,"人社","龙华区","行政处罚",1.0
2017.0,"审计","龙华区","行政处罚",17.0
2017.0,"生态","龙华区","行政处罚",170.0
2017.0,"事单","龙华区","行政处罚",2.0
2017.0,"水务","龙华区","行政处罚",598.0
2017.0,"司法","龙华区","行政处罚",9.0
2017.0,"统计","龙华区","行政处罚",0.0
2017.0,"退役","龙华区","行政处罚",1.0
2017.0,"卫生","龙华区","行政处罚",273.0
2017.0,"文体","龙华区","行政处罚",1.0
2017.0,"应急","龙华区","行政处罚",388.0
2017.0,"住建","龙华区","行政处罚",387.0
2017.0,"财政","罗湖区","行政处罚",22.0
2017.0,"城管","罗湖区","行政处罚",133.0
2017.0,"档案","罗湖区","行政处罚",9.0
2017.0,"公安","罗湖区","行政处罚",416.0
2017.0,"规自","罗湖区","行政处罚",338.0
2017.0,"交通","罗湖区","行政处罚",2.0
2017.0,"教育","罗湖区","行政处罚",37.0
2017.0,"民政","罗湖区","行政处罚",26.0
2017.0,"民宗","罗湖区","行政处罚",5.0
2017.0,"人社","罗湖区","行政处罚",122.0
2017.0,"商务","罗湖区","行政处罚",1.0
2017.0,"审计","罗湖区","行政处罚",17.0
2017.0,"生态","罗湖区","行政处罚",170.0
2017.0,"事单","罗湖区","行政处罚",2.0
2017.0,"水务","罗湖区","行政处罚",870.0
2017.0,"司法","罗湖区","行政处罚",1.0
2017.0,"统计","罗湖区","行政处罚",15.0
2017.0,"退役","罗湖区","行政处罚",4.0
2017.0,"卫生","罗湖区","行政处罚",613.0
2017.0,"文体","罗湖区","行政处罚",221.0
2017.0,"应急","罗湖区","行政处罚",405.0
2017.0,"住建","罗湖区","行政处罚",393.0
2017.0,,"罗湖区","行政处罚",16.0
2017.0,"财政","南山区","行政处罚",25.0
2017.0,"城管","南山区","行政处罚",430.0
2017.0,"档案","南山区","行政处罚",9.0
2017.0,"工信","南山区","行政处罚",0.0
2017.0,"公安","南山区","行政处罚",418.0
2017.0,"规自","南山区","行政处罚",351.0
2017.0,"交通","南山区","行政处罚",1.0
2017.0,"教育","南山区","行政处罚",20.0
2017.0,"民政","南山区","行政处罚",22.0
2017.0,"民宗","南山区","行政处罚",5.0
2017.0,"人社","南山区","行政处罚",102.0
2017.0,"审计","南山区","行政处罚",17.0
2017.0,"生态","南山区","行政处罚",173.0
2017.0,"市监","南山区","行政处罚",0.0
2017.0,"水务","南山区","行政处罚",744.0
2017.0,"司法","南山区","行政处罚",3.0
2017.0,"统计","南山区","行政处罚",12.0
2017.0,"退役","南山区","行政处罚",1.0
2017.0,"卫生","南山区","行政处罚",292.0
2017.0,"文体","南山区","行政处罚",200.0
2017.0,"应急","南山区","行政处罚",166.0
2017.0,"住建","南山区","行政处罚",281.0
2017.0,,"南山区","行政处罚",2.0
2017.0,"保密","坪山区","行政处罚",2.0
