"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_HANGYE","PUNISH_QUYU"
-26.692307692307693,4.153846153846153,-5.615384615384617,7.615384615384616,-4.769230769230771,2018.0,"住建","龙岗区"
9.849315068493151,,,24.893203883495158,3.155339805825242,2016.0,"卫生","光明区"
6.2285714285714295,,,67.43609022556392,14.803030303030308,2017.0,"卫生","光明区"
25.94827586206897,,,37.21093750000004,5.812500000000002,2018.0,"卫生","光明区"
6.207207207207207,,,7.7674418604651185,6.023255813953488,2019.0,"卫生","光明区"
6.854545454545453,,,14.865671641791034,4.464285714285711,2016.0,"卫生","南山区"
15.14285714285714,,,27.957894736842107,3.9069767441860472,2017.0,"卫生","南山区"
5.264516129032263,,,25.335195530726253,5.305555555555558,2018.0,"卫生","南山区"
5.530612244897956,,,10.233333333333333,4.716666666666664,2019.0,"卫生","南山区"
3.65151515151515,,,32.044117647058826,3.2307692307692295,2016.0,"卫生","坪山区"
2.3095238095238084,,,19.988235294117636,4.883720930232556,2017.0,"卫生","坪山区"
1.1346153846153844,,,27.598214285714292,9.205357142857144,2018.0,"卫生","坪山区"
1.225806451612902,,,5.819444444444442,2.5277777777777777,2019.0,"卫生","坪山区"
0.9166666666666666,,,4.066666666666667,1.4666666666666666,2016.0,"卫生","大鹏新区"
1.6666666666666665,,,2.722222222222222,0.75,2017.0,"卫生","大鹏新区"
13.303030303030306,,,13.057142857142853,0.714285714285714,2018.0,"卫生","大鹏新区"
2.8095238095238093,,,7.315789473684208,2.1052631578947363,2019.0,"卫生","大鹏新区"
4.018050541516246,,,19.38690476190477,3.4601226993865026,2016.0,"卫生","宝安区"
4.25988700564972,,,14.675810473815469,2.5241730279898236,2017.0,"卫生","宝安区"
5.30357142857143,,,15.068181818181818,3.274475524475524,2018.0,"卫生","宝安区"
4.312359550561806,,,6.355072463768118,3.5253623188405796,2019.0,"卫生","宝安区"
38.352941176470566,,,8.564102564102562,7.000000000000001,2016.0,"卫生","市级"
27.210526315789473,,,11.868421052631582,4.293333333333332,2017.0,"卫生","市级"
38.44444444444444,,,31.415730337078646,12.022471910112372,2018.0,"卫生","市级"
20.02222222222222,,,6.121621621621619,9.466666666666665,2019.0,"卫生","市级"
4.75,,,4.499999999999999,4.733333333333334,2016.0,"卫生","盐田区"
3.041666666666667,,,22.208333333333332,2.6666666666666674,2017.0,"卫生","盐田区"
5.0,,,27.299999999999994,2.0499999999999994,2018.0,"卫生","盐田区"
4.947368421052632,,,8.6875,2.875,2019.0,"卫生","盐田区"
15.070175438596483,,,30.20731707317074,8.533333333333333,2016.0,"卫生","福田区"
