"YEAR","PUNISH_HANGYE","PUNISH_QUYU","USED","POWER_TYPE","ALL","RATIO_BALANCE"
2019.0,"水务","坪山区",0.0,"行政处罚",901.0,0.0
2019.0,"水务","大鹏新区",0.0,"行政处罚",841.0,0.0
2019.0,"水务","宝安区",2.0,"行政处罚",898.0,0.0022271714922048997
2019.0,"水务","盐田区",0.0,"行政处罚",782.0,0.0
2019.0,"水务","福田区",1.0,"行政处罚",455.0,0.002197802197802198
2019.0,"水务","罗湖区",1.0,"行政处罚",896.0,0.0011160714285714285
2019.0,"水务","龙岗区",1.0,"行政处罚",910.0,0.001098901098901099
2019.0,"生态","福田区",0.0,"行政处罚",298.0,0.0
2019.0,"生态","龙岗区",0.0,"行政处罚",298.0,0.0
2019.0,"统计","光明区",1.0,"行政处罚",15.0,0.06666666666666667
2019.0,"统计","南山区",1.0,"行政处罚",15.0,0.06666666666666667
2019.0,"统计","坪山区",1.0,"行政处罚",15.0,0.06666666666666667
2019.0,"统计","大鹏新区",0.0,"行政处罚",5.0,0.0
2019.0,"统计","龙华区",1.0,"行政处罚",15.0,0.06666666666666667
2019.0,"规自","光明区",0.0,"行政处罚",318.0,0.0
2019.0,"规自","南山区",2.0,"行政处罚",358.0,0.00558659217877095
2019.0,"规自","坪山区",2.0,"行政处罚",324.0,0.006172839506172839
2019.0,"规自","宝安区",1.0,"行政处罚",338.0,0.0029585798816568047
2019.0,"规自","盐田区",0.0,"行政处罚",315.0,0.0
2019.0,"规自","福田区",2.0,"行政处罚",335.0,0.005970149253731343
2019.0,"规自","罗湖区",0.0,"行政处罚",342.0,0.0
2019.0,"规自","龙华区",1.0,"行政处罚",331.0,0.0030211480362537764
2019.0,"规自","龙岗区",2.0,"行政处罚",320.0,0.00625
2019.0,"财政","龙华区",0.0,"行政处罚",23.0,0.0
2019.0,"财政","龙岗区",0.0,"行政处罚",25.0,0.0
2016.0,"市监","光明区",1.0,,,
2016.0,"市监","坪山区",1.0,,,
2016.0,"市监","大鹏新区",1.0,,,
2016.0,"市监","宝安区",1.0,,,
2016.0,"市监","盐田区",1.0,,,
2016.0,"市监","福田区",1.0,,,
2016.0,"市监","罗湖区",1.0,,,
2016.0,"市监","龙华区",1.0,,,
2016.0,"市监","龙岗区",1.0,,,
2017.0,"市监","光明区",1.0,,,
2017.0,"市监","坪山区",1.0,,,
2017.0,"市监","大鹏新区",1.0,,,
2017.0,"市监","宝安区",1.0,,,
2017.0,"市监","盐田区",1.0,,,
2017.0,"市监","福田区",1.0,,,
2017.0,"市监","罗湖区",1.0,,,
2017.0,"市监","龙华区",1.0,,,
2017.0,"市监","龙岗区",1.0,,,
2018.0,"市监","光明区",1.0,,,
2018.0,"市监","坪山区",1.0,,,
2018.0,"市监","大鹏新区",1.0,,,
2018.0,"市监","宝安区",1.0,,,
2018.0,"市监","盐田区",1.0,,,
2018.0,"市监","福田区",1.0,,,
2018.0,"市监","罗湖区",1.0,,,
2018.0,"市监","龙华区",1.0,,,
2018.0,"市监","龙岗区",1.0,,,
2019.0,"市监","光明区",1.0,,,
2019.0,"市监","坪山区",1.0,,,
2019.0,"市监","大鹏新区",1.0,,,
2019.0,"市监","宝安区",1.0,,,
2019.0,"市监","盐田区",1.0,,,
2019.0,"市监","福田区",1.0,,,
2019.0,"市监","罗湖区",1.0,,,
2019.0,"市监","龙华区",1.0,,,
2019.0,"市监","龙岗区",1.0,,,
