"PUNISH_HANGYE","PUNISH_QUYU","ENFORCE_TYPE","YEAR","SUM(*)"
"规自","坪山区","01",2018,46
"规自","坪山区","01",2019,19
"规自","坪山区","02",2018,4
"规自","大鹏新区","01",2018,1
"规自","宝安区","01",2018,2
"规自","宝安区","01",2019,4
"规自","宝安区","02",2018,7
"规自","宝安区","02",2019,11
"规自","盐田区","01",2018,7
"规自","盐田区","01",2019,1
"规自","盐田区","02",2019,1
"规自","福田区","01",2017,1
"规自","福田区","01",2018,21
"规自","福田区","01",2019,29
"规自","福田区","02",2018,1
"规自","福田区","02",2019,4
"规自","罗湖区","01",2018,2
"规自","罗湖区","01",2019,1
"规自","龙华区","01",2018,4
"规自","龙华区","01",2019,7
"规自","龙华区","02",2018,3
"规自","龙华区","02",2019,1
"规自","龙岗区","01",2018,23
"规自","龙岗区","01",2019,6
"规自","龙岗区","02",2018,14
"规自","龙岗区","02",2019,18
"财政",,"01",2018,21
"财政",,"01",2019,33
"财政","坪山区","01",2018,1
"财政","宝安区","01",2018,9
"财政","福田区","01",2018,5
"财政","罗湖区","01",2018,6
"财政","罗湖区","01",2019,2
"财政","龙华区","01",2019,4
"财政","龙岗区","01",2018,22
"财政","龙岗区","01",2019,3
