"YEAR","PUNISH_HANGYE","PUNISH_QUYU","SUM(*)"
2019.0,"应急","坪山区",
2019.0,"应急","大鹏新区",
2019.0,"应急","宝安区",
2019.0,"应急","盐田区",
2019.0,"应急","福田区",
2019.0,"应急","罗湖区",
2019.0,"应急","龙华区",
2019.0,"应急","龙岗区",
2019.0,"文体","光明区",23000.0
2019.0,"文体","南山区",135000.0
2019.0,"文体","坪山区",15000.0
2019.0,"文体","大鹏新区",11000.0
2019.0,"文体","宝安区",20000.0
2019.0,"文体","福田区",74700.0
2019.0,"文体","罗湖区",95900.0
2019.0,"文体","龙华区",10000.0
2019.0,"文体","龙岗区",200000.0
2019.0,"水务",,
2019.0,"水务","光明区",30000.0
2019.0,"水务","南山区",50000.0
2019.0,"水务","坪山区",300000.0
2019.0,"水务","大鹏新区",
2019.0,"水务","宝安区",420000.0
2019.0,"水务","盐田区",50000.0
2019.0,"水务","福田区",
2019.0,"水务","罗湖区",345000.0
2019.0,"水务","龙岗区",945000.0
2019.0,"生态",,28.0
2019.0,"生态","福田区",3.0
2019.0,"生态","龙岗区",110000.0
2019.0,"统计","光明区",
2019.0,"统计","南山区",
2019.0,"统计","坪山区",
2019.0,"统计","大鹏新区",
2019.0,"统计","龙华区",
2019.0,"规自",,1.364118995E7
2019.0,"规自","光明区",1116465.91
2019.0,"规自","南山区",21437.0
2019.0,"规自","坪山区",1614407.1
2019.0,"规自","宝安区",
2019.0,"规自","盐田区",
2019.0,"规自","福田区",1900.0
2019.0,"规自","罗湖区",1.072114202E7
2019.0,"规自","龙华区",315387.1
2019.0,"规自","龙岗区",133192.4
2019.0,"财政",,9488.5
2019.0,"财政","龙华区",
2019.0,"财政","龙岗区",14390.78
