"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_JOBCLASS","SUM(*)"
2018.0,"民政","坪山区","副处级",1.0
2018.0,"民宗","宝安区","副处级",0.0
2018.0,"民宗","龙华区","副处级",1.0
2018.0,"人社","宝安区","副处级",3.0
2018.0,"人社","大鹏新区","副处级",1.0
2018.0,"人社","福田区","副处级",7.0
2018.0,"人社","龙岗区","副处级",6.0
2018.0,"人社","龙华区","副处级",3.0
2018.0,"人社","罗湖区","副处级",2.0
2018.0,"人社","南山区","副处级",5.0
2018.0,"人社","坪山区","副处级",2.0
2018.0,"人社","盐田区","副处级",5.0
2018.0,"审计","福田区","副处级",2.0
2018.0,"审计","光明区","副处级",1.0
2018.0,"审计","龙岗区","副处级",4.0
2018.0,"审计","龙华区","副处级",1.0
2018.0,"审计","罗湖区","副处级",3.0
2018.0,"审计","坪山区","副处级",1.0
2018.0,"审计","盐田区","副处级",2.0
2018.0,"生态","大鹏新区","副处级",3.0
2018.0,"生态","福田区","副处级",1.0
2018.0,"生态","龙岗区","副处级",1.0
2018.0,"生态","龙华区","副处级",2.0
2018.0,"生态","罗湖区","副处级",2.0
2018.0,"生态","南山区","副处级",1.0
2018.0,"生态","坪山区","副处级",3.0
2018.0,"生态","盐田区","副处级",1.0
2018.0,"市监","宝安区","副处级",4.0
2018.0,"市监","大鹏新区","副处级",4.0
2018.0,"市监","福田区","副处级",7.0
2018.0,"市监","龙岗区","副处级",4.0
2018.0,"市监","龙华区","副处级",3.0
2018.0,"市监","罗湖区","副处级",4.0
