"YEAR","PEO_ENFORCE_HANGYE","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2019.0,"水务",511.0,0.0,0.0,1.0,511.0,0.0,0.0,0.0,0.0,0.0
2016.0,"司法",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"司法",21.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
2018.0,"司法",47.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0
2019.0,"司法",68.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0
2016.0,"统计",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"统计",110.0,0.0,0.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0
2018.0,"统计",121.0,0.0,1.0,1.0,121.0,0.0,1.0,0.0,0.0,0.0
2019.0,"统计",156.0,0.0,2.0,1.0,156.0,0.0,2.0,0.0,0.0,0.0
2016.0,"退役",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"退役",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"退役",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019.0,"退役",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2016.0,"卫生",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"卫生",620.0,0.0,0.0,1.0,620.0,0.0,0.0,0.0,0.0,0.0
2018.0,"卫生",787.0,0.0,0.0,1.0,787.0,0.0,0.0,0.0,0.0,0.0
2019.0,"卫生",844.0,0.0,0.0,1.0,844.0,0.0,0.0,0.0,0.0,0.0
2016.0,"文体",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"文体",106.0,0.0,0.0,1.0,106.0,0.0,0.0,0.0,0.0,0.0
