"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ALL(SHIJI)","ALL(SHENGJI)","ALL(BUJI)","CODE_ALL","SUM(SHIJI)","SUM(SHENGJI)","SUM(BUJI)","SUM(SHI_SHENG)","SUM(SHI_BU)","SUM(SHENG_BU)"
2016.0,"城管","罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"城管","罗湖区",22.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0
2018.0,"城管","罗湖区",25.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0
2019.0,"城管","罗湖区",25.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0
2016.0,"城管","南山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"城管","南山区",148.0,0.0,0.0,1.0,148.0,0.0,0.0,0.0,0.0,0.0
2018.0,"城管","南山区",190.0,0.0,0.0,1.0,190.0,0.0,0.0,0.0,0.0,0.0
2019.0,"城管","南山区",207.0,0.0,0.0,1.0,207.0,0.0,0.0,0.0,0.0,0.0
2016.0,"城管","坪山区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"城管","坪山区",55.0,0.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0
2018.0,"城管","坪山区",74.0,0.0,0.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0
2019.0,"城管","坪山区",91.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,0.0,0.0
2016.0,"城管","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"城管","市级",20.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0
2018.0,"城管","市级",21.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
2019.0,"城管","市级",21.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
2016.0,"城管","盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"城管","盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"城管","盐田区",45.0,0.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0
2019.0,"城管","盐田区",46.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0
2016.0,"档案","龙岗区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"档案","龙岗区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2018.0,"档案","龙岗区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2019.0,"档案","龙岗区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016.0,"档案","罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"档案","罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"档案","罗湖区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"档案","罗湖区",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016.0,"档案","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"档案","市级",3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
2018.0,"档案","市级",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2019.0,"档案","市级",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2016.0,"档案","盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"档案","盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"档案","盐田区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"档案","盐田区",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2016.0,"发改","大鹏新区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"发改","大鹏新区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"发改","大鹏新区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2019.0,"发改","大鹏新区",4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
2016.0,"发改","光明区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"发改","光明区",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2018.0,"发改","光明区",5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
2019.0,"发改","光明区",7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
2016.0,"发改","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"发改","市级",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,"发改","市级",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019.0,"发改","市级",2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2016.0,"工信","宝安区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,"工信","宝安区",6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
2018.0,"工信","宝安区",7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
2019.0,"工信","宝安区",7.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0
2016.0,"工信","龙华区",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
