"YEAR","PEO_ENFORCE_QUYU","ENFORCEPEO_JOBCLASS","SUM(*)"
2016.0,"龙岗区","其他",0.0
2016.0,"龙华区","其他",0.0
2016.0,"罗湖区","其他",0.0
2016.0,"南山区","其他",0.0
2016.0,"坪山区","其他",0.0
2016.0,"盐田区","其他",0.0
2017.0,"宝安区","其他",394.0
2017.0,"大鹏新区","其他",88.0
2017.0,"福田区","其他",429.0
2017.0,"光明区","其他",37.0
2017.0,"龙岗区","其他",303.0
2017.0,"龙华区","其他",207.0
2017.0,"罗湖区","其他",395.0
2017.0,"南山区","其他",412.0
2017.0,"坪山区","其他",140.0
2017.0,"盐田区","其他",14.0
2018.0,"宝安区","其他",458.0
2018.0,"大鹏新区","其他",115.0
2018.0,"福田区","其他",554.0
2018.0,"光明区","其他",59.0
2018.0,"龙岗区","其他",511.0
2018.0,"龙华区","其他",422.0
2018.0,"罗湖区","其他",491.0
2018.0,"南山区","其他",539.0
2018.0,"坪山区","其他",263.0
2018.0,"盐田区","其他",28.0
2019.0,"宝安区","其他",489.0
2019.0,"大鹏新区","其他",115.0
2019.0,"福田区","其他",557.0
2019.0,"光明区","其他",66.0
2019.0,"龙岗区","其他",544.0
2019.0,"龙华区","其他",453.0
2019.0,"罗湖区","其他",513.0
2019.0,"南山区","其他",569.0
2019.0,"坪山区","其他",299.0
2019.0,"盐田区","其他",29.0
