"YEAR","PEO_ENFORCE_HANGYE","PEO_ENFORCE_QUYU","ENFORCEPEO_AGE","SUM(*)"
2019.0,"住建","南山区","30岁以下",1.0
2019.0,"住建","坪山区","30岁以下",2.0
2019.0,"住建","盐田区","30岁以下",8.0
2016.0,"保密","光明区","31-40岁",0.0
2016.0,"保密","龙岗区","31-40岁",0.0
2016.0,"保密","龙华区","31-40岁",0.0
2016.0,"保密","坪山区","31-40岁",0.0
2016.0,"财政","宝安区","31-40岁",0.0
2016.0,"财政","大鹏新区","31-40岁",0.0
2016.0,"财政","福田区","31-40岁",0.0
2016.0,"财政","光明区","31-40岁",0.0
2016.0,"财政","龙岗区","31-40岁",0.0
2016.0,"财政","龙华区","31-40岁",0.0
2016.0,"财政","罗湖区","31-40岁",0.0
2016.0,"财政","南山区","31-40岁",0.0
2016.0,"财政","坪山区","31-40岁",0.0
2016.0,"财政","盐田区","31-40岁",0.0
2016.0,"城管","宝安区","31-40岁",0.0
2016.0,"城管","大鹏新区","31-40岁",0.0
2016.0,"城管","福田区","31-40岁",0.0
2016.0,"城管","光明区","31-40岁",0.0
2016.0,"城管","龙岗区","31-40岁",0.0
2016.0,"城管","龙华区","31-40岁",0.0
2016.0,"城管","罗湖区","31-40岁",0.0
2016.0,"城管","南山区","31-40岁",0.0
2016.0,"城管","坪山区","31-40岁",0.0
2016.0,"城管","盐田区","31-40岁",0.0
2016.0,"档案","罗湖区","31-40岁",0.0
2016.0,"档案","盐田区","31-40岁",0.0
2016.0,"发改","大鹏新区","31-40岁",0.0
2016.0,"发改","光明区","31-40岁",0.0
2016.0,"工信","宝安区","31-40岁",0.0
2016.0,"工信","龙华区","31-40岁",0.0
2016.0,"工信","南山区","31-40岁",0.0
2016.0,"规自","宝安区","31-40岁",0.0
2016.0,"规自","大鹏新区","31-40岁",0.0
2016.0,"规自","福田区","31-40岁",0.0
2016.0,"规自","光明区","31-40岁",0.0
2016.0,"规自","龙岗区","31-40岁",0.0
2016.0,"规自","龙华区","31-40岁",0.0
2016.0,"规自","罗湖区","31-40岁",0.0
2016.0,"规自","南山区","31-40岁",0.0
2016.0,"规自","坪山区","31-40岁",0.0
2016.0,"规自","盐田区","31-40岁",0.0
2016.0,"教育","宝安区","31-40岁",0.0
2016.0,"教育","福田区","31-40岁",0.0
2016.0,"教育","光明区","31-40岁",0.0
2016.0,"教育","龙岗区","31-40岁",0.0
2016.0,"教育","龙华区","31-40岁",0.0
2016.0,"教育","罗湖区","31-40岁",0.0
2016.0,"教育","南山区","31-40岁",0.0
2016.0,"教育","坪山区","31-40岁",0.0
2016.0,"民政","宝安区","31-40岁",0.0
2016.0,"民政","福田区","31-40岁",0.0
2016.0,"民政","光明区","31-40岁",0.0
2016.0,"民政","龙岗区","31-40岁",0.0
